file_name,f0_mean,f0_std,centroid_mean,zcr_mean,gender,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
7159862176919548258.wav,135.841,24.243,740.331,0.051,male,103.231,0.718,25.404,2.038,-1.094,5.204,-5.565,0.577,3.539,-2.244,-2.243,2.965,-1.824,-4.525,1.5,-1.237,-4.069,-0.35,0.058
12951848363959320156.wav,226.774,55.77,909.476,0.076,female,96.974,-15.822,15.12,1.485,-14.47,0.921,-1.934,-4.715,-2.218,-3.464,-3.024,-3.933,-7.882,-6.139,-4.84,-5.367,-4.021,-5.124,-4.504
13394269605176372148.wav,139.675,21.848,772.593,0.055,male,114.748,-14.526,22.125,4.573,-4.208,3.75,-9.601,0.119,3.785,-2.132,-2.24,0.303,0.591,-2.711,-0.399,-1.099,-2.443,0.833,-0.418
17562067154452877054.wav,134.99,30.237,1161.595,0.1,male,80.935,-13.851,27.127,2.626,0.885,1.593,-7.796,0.69,-0.215,-0.79,-0.487,0.231,1.541,-1.264,-1.111,-2.147,-2.543,-1.438,-2.024
9431791451113209518.wav,210.459,45.223,1007.198,0.082,female,82.219,-10.313,16.97,-8.001,-14.741,-10.973,-9.566,-3.033,-0.869,-2.607,-4.12,-2.175,-7.199,-2.702,-2.136,-4.509,-1.698,-5.956,-5.325
11846076079276902855.wav,147.374,20.826,772.81,0.056,male,101.46,-5.754,23.44,16.669,-8.29,-0.003,-2.085,-8.908,-0.185,1.897,-5.967,0.065,2.656,-4.291,-0.083,1.802,-2.624,-1.528,-1.201
4490555107572319616.wav,143.296,51.231,991.834,0.103,male,85.167,-15.068,1.127,6.042,-6.8,-1.465,-2.896,-5.217,-2.808,-1.913,-1.974,-1.461,-0.517,-1.359,-1.075,-0.324,-1.301,-0.545,-0.148
Voice580.wav,199.427,58.244,826.423,0.053,female,100.757,-13.208,21.624,1.722,2.852,6.303,-8.791,1.444,1.126,-6.89,-2.734,-1.069,-8.049,-4.998,-3.541,-6.296,-1.525,-3.454,-4.079
8491954515634177938.wav,149.623,47.803,933.559,0.085,male,96.083,-9.581,12.191,-2.059,-0.368,0.087,-2.915,-2.486,-2.562,1.898,-3.145,-1.644,0.665,-1.912,-0.554,-0.546,-1.082,-0.938,0.805
18386295530260160602.wav,196.871,70.534,996.094,0.076,female,87.052,-18.505,18.314,0.933,-9.328,-3.936,-4.579,-3.577,-7.622,-4.971,-2.843,-0.024,-2.262,-3.336,-0.353,-3.379,-3.029,-2.721,-4.027
